"state","GEOID","cty","county","year","population","Abbreviation","Region","Division"
"Alabama","01067","Henry County, Alabama","Henry County","pop_1930",22820,"AL","South","East South Central"
"Alabama","01025","Clarke County, Alabama","Clarke County","pop_2000",27867,"AL","South","East South Central"
"Alabama","01037","Coosa County, Alabama","Coosa County","pop_1920",14839,"AL","South","East South Central"
"Alabama","01055","Etowah County, Alabama","Etowah County","pop_2010",104430,"AL","South","East South Central"
"Alabama","01107","Pickens County, Alabama","Pickens County","pop_1940",27671,"AL","South","East South Central"
"Alabama","01111","Randolph County, Alabama","Randolph County","pop_1920",27064,"AL","South","East South Central"
"Alabama","01009","Blount County, Alabama","Blount County","pop_2020",59134,"AL","South","East South Central"
"Alabama","01053","Escambia County, Alabama","Escambia County","pop_1980",38440,"AL","South","East South Central"
"Alabama","01001","Autauga County, Alabama","Autauga County","pop_2020",58805,"AL","South","East South Central"
"Alabama","01019","Cherokee County, Alabama","Cherokee County","pop_2010",25989,"AL","South","East South Central"
"Alabama","01071","Jackson County, Alabama","Jackson County","pop_2000",53926,"AL","South","East South Central"
"Alabama","01127","Walker County, Alabama","Walker County","pop_2000",70713,"AL","South","East South Central"
"Alabama","01043","Cullman County, Alabama","Cullman County","pop_2020",87866,"AL","South","East South Central"
"Alabama","01109","Pike County, Alabama","Pike County","pop_2020",33009,"AL","South","East South Central"
"Alabama","01023","Choctaw County, Alabama","Choctaw County","pop_1920",20753,"AL","South","East South Central"
"Alabama","01091","Marengo County, Alabama","Marengo County","pop_1930",36426,"AL","South","East South Central"
"Alabama","01059","Franklin County, Alabama","Franklin County","pop_2020",32113,"AL","South","East South Central"
"Alabama","01125","Tuscaloosa County, Alabama","Tuscaloosa County","pop_2020",227036,"AL","South","East South Central"
"Alabama","01051","Elmore County, Alabama","Elmore County","pop_2020",87977,"AL","South","East South Central"
"Alabama","01099","Monroe County, Alabama","Monroe County","pop_1930",30070,"AL","South","East South Central"
"Alabama","01131","Wilcox County, Alabama","Wilcox County","pop_1920",31080,"AL","South","East South Central"
"Alabama","01005","Barbour County, Alabama","Barbour County","pop_1940",32722,"AL","South","East South Central"
"Alabama","01123","Tallapoosa County, Alabama","Tallapoosa County","pop_2010",41616,"AL","South","East South Central"
"Alabama","01093","Marion County, Alabama","Marion County","pop_2000",31214,"AL","South","East South Central"
"Alabama","01079","Lawrence County, Alabama","Lawrence County","pop_2000",34803,"AL","South","East South Central"
"Alabama","01045","Dale County, Alabama","Dale County","pop_1970",52938,"AL","South","East South Central"
"Alabama","01077","Lauderdale County, Alabama","Lauderdale County","pop_2020",93564,"AL","South","East South Central"
"Alabama","01083","Limestone County, Alabama","Limestone County","pop_2020",103570,"AL","South","East South Central"
"Alabama","01121","Talladega County, Alabama","Talladega County","pop_2010",82291,"AL","South","East South Central"
"Alabama","01103","Morgan County, Alabama","Morgan County","pop_2020",123421,"AL","South","East South Central"
"Alabama","01011","Bullock County, Alabama","Bullock County","pop_1920",25333,"AL","South","East South Central"
"Alabama","01027","Clay County, Alabama","Clay County","pop_1920",22645,"AL","South","East South Central"
"Alabama","01129","Washington County, Alabama","Washington County","pop_2000",18097,"AL","South","East South Central"
"Alabama","01095","Marshall County, Alabama","Marshall County","pop_2020",97612,"AL","South","East South Central"
"Alabama","01013","Butler County, Alabama","Butler County","pop_1940",32447,"AL","South","East South Central"
"Alabama","01007","Bibb County, Alabama","Bibb County","pop_1920",23144,"AL","South","East South Central"
"Alabama","01035","Conecuh County, Alabama","Conecuh County","pop_1940",25489,"AL","South","East South Central"
"Alabama","01065","Hale County, Alabama","Hale County","pop_1930",26265,"AL","South","East South Central"
"Alabama","01115","St. Clair County, Alabama","St. Clair County","pop_2020",91103,"AL","South","East South Central"
"Alabama","01049","DeKalb County, Alabama","DeKalb County","pop_2020",71608,"AL","South","East South Central"
"Alabama","01117","Shelby County, Alabama","Shelby County","pop_2020",223024,"AL","South","East South Central"
"Alabama","01015","Calhoun County, Alabama","Calhoun County","pop_1980",119761,"AL","South","East South Central"
"Alabama","01119","Sumter County, Alabama","Sumter County","pop_1940",27321,"AL","South","East South Central"
"Alabama","01089","Madison County, Alabama","Madison County","pop_2020",388153,"AL","South","East South Central"
"Alabama","01087","Macon County, Alabama","Macon County","pop_1950",30561,"AL","South","East South Central"
"Alabama","01031","Coffee County, Alabama","Coffee County","pop_2020",53465,"AL","South","East South Central"
"Alabama","01101","Montgomery County, Alabama","Montgomery County","pop_2010",229363,"AL","South","East South Central"
"Alabama","01057","Fayette County, Alabama","Fayette County","pop_1940",21651,"AL","South","East South Central"
"Alabama","01061","Geneva County, Alabama","Geneva County","pop_1930",30104,"AL","South","East South Central"
"Alabama","01073","Jefferson County, Alabama","Jefferson County","pop_2020",674721,"AL","South","East South Central"
"Alabama","01041","Crenshaw County, Alabama","Crenshaw County","pop_1930",23656,"AL","South","East South Central"
"Alabama","01133","Winston County, Alabama","Winston County","pop_2000",24843,"AL","South","East South Central"
"Alabama","01033","Colbert County, Alabama","Colbert County","pop_2020",57227,"AL","South","East South Central"
"Alabama","01075","Lamar County, Alabama","Lamar County","pop_1940",19708,"AL","South","East South Central"
"Alabama","01113","Russell County, Alabama","Russell County","pop_2020",59183,"AL","South","East South Central"
"Alabama","01017","Chambers County, Alabama","Chambers County","pop_1940",42146,"AL","South","East South Central"
"Alabama","01081","Lee County, Alabama","Lee County","pop_2020",174241,"AL","South","East South Central"
"Alabama","01039","Covington County, Alabama","Covington County","pop_1940",42417,"AL","South","East South Central"
"Alabama","01085","Lowndes County, Alabama","Lowndes County","pop_1920",25406,"AL","South","East South Central"
